Date,price,return,SMA1,SMA2,position,strategy,creturns,cstrategy
2024-01-30,109.5,-0.004555816535860691,107.93499999999999,105.475,1,-0.004555816535860691,0.9954545454545455,0.9954545454545455
2024-01-31,111.2,0.01540583255992661,108.425,105.975,1,0.01540583255992661,1.010909090909091,1.010909090909091
2024-02-01,110.8,-0.0036036075032986558,108.925,106.475,1,-0.0036036075032986558,1.0072727272727273,1.0072727272727273
2024-02-02,112.5,0.015226447331291384,109.425,106.995,1,0.015226447331291384,1.0227272727272727,1.0227272727272727
2024-02-05,111.9,-0.005347606326595242,109.925,107.49249999999999,1,-0.005347606326595242,1.0172727272727273,1.0172727272727273
2024-02-06,113.4,0.013315775975772156,110.44500000000001,108.00250000000001,1,0.013315775975772156,1.030909090909091,1.030909090909091
2024-02-07,112.7,-0.006191970247921107,110.95,108.495,1,-0.006191970247921107,1.0245454545454546,1.0245454545454546
2024-02-08,114.6,0.0167183832349084,111.5,109.0,1,0.0167183832349084,1.0418181818181818,1.0418181818181818
2024-02-09,113.95,-0.005688048588945815,112.05499999999999,109.51000000000002,1,-0.005688048588945815,1.035909090909091,1.035909090909091
2024-02-12,115.5,0.01351077427015504,112.60499999999999,110.025,1,0.01351077427015504,1.05,1.05
2024-02-13,114.8,-0.006079046076382226,113.13499999999999,110.535,1,-0.006079046076382226,1.0436363636363637,1.0436363636363637
2024-02-14,116.7,0.016415055407044396,113.68499999999999,111.05500000000002,1,0.016415055407044396,1.060909090909091,1.060909090909091
2024-02-15,116.1,-0.0051546505886645375,114.215,111.57000000000001,1,-0.0051546505886645375,1.0554545454545456,1.0554545454545456
2024-02-16,117.8,0.014536382513640592,114.745,112.085,1,0.014536382513640592,1.070909090909091,1.070909090909091
2024-02-19,117.2,-0.005106394074574028,115.275,112.6,1,-0.005106394074574028,1.0654545454545457,1.0654545454545457
2024-02-20,119.1,0.016081599218342145,115.845,113.14500000000001,1,0.016081599218342145,1.082727272727273,1.082727272727273
2024-02-21,118.5,-0.00505051578606848,116.425,113.6875,1,-0.00505051578606848,1.0772727272727276,1.0772727272727276
2024-02-22,120.3,0.015075662405447396,116.995,114.24750000000002,1,0.015075662405447396,1.093636363636364,1.093636363636364
2024-02-23,119.7,-0.0050000104167056405,117.57000000000001,114.8125,1,-0.0050000104167056405,1.0881818181818186,1.0881818181818186
2024-02-26,121.4,0.014102266061470478,118.16000000000001,115.38250000000001,1,0.014102266061470478,1.1036363636363642,1.1036363636363642
2024-02-27,120.85,-0.004540771475905959,118.76500000000001,115.95,1,-0.004540771475905959,1.098636363636364,1.098636363636364
2024-02-28,122.6,0.01437691635261899,119.35499999999999,116.52000000000001,1,0.01437691635261899,1.114545454545455,1.114545454545455
2024-02-29,121.95,-0.0053158988401817075,119.93999999999998,117.07750000000001,1,-0.0053158988401817075,1.108636363636364,1.108636363636364
2024-03-01,123.5,0.012630031406102646,120.50999999999999,117.62750000000001,1,0.012630031406102646,1.1227272727272732,1.1227272727272732
2024-03-04,122.8,-0.005684140354989807,121.06999999999998,118.17249999999999,1,-0.005684140354989807,1.116363636363637,1.116363636363637
2024-03-05,124.7,0.015353836972948794,121.63,118.7375,1,0.015353836972948794,1.1336363636363644,1.1336363636363644
2024-03-06,124.05,-0.005226142548180775,122.18499999999999,119.30499999999999,1,-0.005226142548180775,1.1277272727272734,1.1277272727272734
2024-03-07,125.9,0.014803230912491507,122.745,119.87,1,0.014803230912491507,1.1445454545454552,1.1445454545454552
2024-03-08,125.2,-0.005575482384303395,123.295,120.43249999999998,1,-0.005575482384303395,1.1381818181818188,1.1381818181818188
2024-03-11,127.1,0.015061719529410217,123.86499999999998,121.0125,1,0.015061719529410217,1.1554545454545462,1.1554545454545462
2024-03-12,126.4,-0.005522696482651193,124.42,121.5925,1,-0.005522696482651193,1.1490909090909098,1.1490909090909098
2024-03-13,128.2,0.014140062773812473,124.98000000000002,122.16749999999999,1,0.014140062773812473,1.1654545454545462,1.1654545454545462
2024-03-14,127.55,-0.00508309989874915,125.54,122.73999999999998,1,-0.00508309989874915,1.1595454545454553,1.1595454545454553
2024-03-15,129.4,0.014399937478979753,126.13,123.32000000000001,1,0.014399937478979753,1.1763636363636372,1.1763636363636372
2024-03-18,128.7,-0.005424267464719375,126.72,123.89499999999998,1,-0.005424267464719375,1.1700000000000006,1.1700000000000006
2024-03-19,130.6,0.014655102240249835,127.30999999999999,124.47,1,0.014655102240249835,1.187272727272728,1.187272727272728
2024-03-20,129.95,-0.004989455754831418,127.9,125.04249999999999,1,-0.004989455754831418,1.181363636363637,1.181363636363637
