Date,Close
2024-01-02,100.50
2024-01-03,101.20
2024-01-04,100.80
2024-01-05,102.10
2024-01-08,101.95
2024-01-09,103.20
2024-01-10,102.85
2024-01-11,104.50
2024-01-12,103.75
2024-01-15,105.20
2024-01-16,104.60
2024-01-17,106.30
2024-01-18,105.80
2024-01-19,107.50
2024-01-22,106.90
2024-01-23,108.20
2024-01-24,107.65
2024-01-25,109.10
2024-01-26,108.40
2024-01-29,110.00
2024-01-30,109.50
2024-01-31,111.20
2024-02-01,110.80
2024-02-02,112.50
2024-02-05,111.90
2024-02-06,113.40
2024-02-07,112.70
2024-02-08,114.60
2024-02-09,113.95
2024-02-12,115.50
2024-02-13,114.80
2024-02-14,116.70
2024-02-15,116.10
2024-02-16,117.80
2024-02-19,117.20
2024-02-20,119.10
2024-02-21,118.50
2024-02-22,120.30
2024-02-23,119.70
2024-02-26,121.40
2024-02-27,120.85
2024-02-28,122.60
2024-02-29,121.95
2024-03-01,123.50
2024-03-04,122.80
2024-03-05,124.70
2024-03-06,124.05
2024-03-07,125.90
2024-03-08,125.20
2024-03-11,127.10
2024-03-12,126.40
2024-03-13,128.20
2024-03-14,127.55
2024-03-15,129.40
2024-03-18,128.70
2024-03-19,130.60
2024-03-20,129.95
2024-03-21,131.80
2024-03-22,131.15
2024-03-25,132.90
2024-03-26,132.25
2024-03-27,134.10
2024-03-28,133.45
2024-04-01,135.30
2024-04-02,134.65
2024-04-03,136.50
2024-04-04,135.85
2024-04-05,137.70
2024-04-08,137.05
2024-04-09,138.90
2024-04-10,138.25
2024-04-11,140.10
2024-04-12,139.45
2024-04-15,141.30
2024-04-16,140.65
2024-04-17,142.50
2024-04-18,141.85
2024-04-19,143.70
2024-04-22,143.05
2024-04-23,144.90
2024-04-24,144.25
2024-04-25,146.10
2024-04-26,145.45
2024-04-29,147.30
2024-04-30,146.65
2024-05-01,148.50
2024-05-02,147.85
2024-05-03,149.70
2024-05-06,149.05
2024-05-07,150.90
2024-05-08,150.25
2024-05-09,152.10
2024-05-10,151.45
