Date,Close
2024-01-02,100.50
2024-01-03,101.20
2024-01-04,100.80
2024-01-05,102.10
2024-01-08,101.95
2024-01-09,103.20
2024-01-10,102.85
2024-01-11,104.50
2024-01-12,103.75
2024-01-15,105.20
2024-01-16,104.60
2024-01-17,106.30
2024-01-18,105.80
2024-01-19,107.50
2024-01-22,106.90
2024-01-23,108.20
2024-01-24,107.65
2024-01-25,109.10
2024-01-26,108.40
2024-01-29,110.00
2024-01-30,109.50
2024-01-31,111.20
2024-02-01,110.80
2024-02-02,112.50
2024-02-05,111.90
2024-02-06,113.40
2024-02-07,112.70
2024-02-08,114.60
2024-02-09,113.95
2024-02-12,115.50
2024-02-13,114.80
2024-02-14,116.70
2024-02-15,116.10
2024-02-16,117.80
2024-02-19,117.20
2024-02-20,119.10
2024-02-21,118.50
2024-02-22,120.30
2024-02-23,119.70
